protein,psm_count
I6XD69,83
P95029,81
P9WMQ5,69
P9WMJ9,68
I6X8D2,66
P9WK07,63
P9WJV5,59
P9WGY9,58
P9WPE7,58
I6Y231,57
O53580,56
O53873,55
O53901,53
P9WHG9,51
O05576,48
I6Y7V6,48
P9WPX3,48
P96890,45
P9WFU5,45
O53203,44
O53166,44
O53165,44
P95226,44
P9WNK5,44
P9WN53,44
P9WJJ9,42
P9WG47,42
P9WQH5,42
P9WHH5,42
O86353,41
P9WQ63,41
P96202,41
P96414,41
Q10896,41
P71905,41
O53493,40
P9WJQ3,40
P9WN49,40
O53669,40
P9WND5,40
P9WJQ1,39
O53585,39
P71639,38
P9WIS9,38
P9WK17,37
O53645,37
A0A089QRB9,37
P9WHF9,36
O06218,36
P9WFW7,36
P9WQ77,36
P9WNB1,35
P9WHH3,35
P9WPE9,35
P9WFU7,35
P9WMQ7,35
P9WNZ1,35
P9WHF3,34
P9WGV3,34
P9WP11,34
P95200,34
P9WH15,34
P9WG49,34
P9WQ55,33
P9WJP9,33
P9WNV5,33
O53406,33
P96856,32
P96809,32
Q6MX34,32
P95234,32
P9WG45,32
P9WLT3,32
P9WQE1,32
P9WMK7,32
P9WMU1,32
P96874,32
P9WHJ3,31
P9WNA3,31
P96271,31
L7N653,31
P9WJU1,31
P9WQE9,31
P9WN83,31
P9WQK3,31
I6YC03,31
P9WKK7,30
P9WHU1,30
P9WIH3,30
P9WMH1,30
O53776,30
P9WKK1,30
P9WPU5,29
I6YF40,29
P9WNR7,29
P9WH35,29
O53639,29
P9WJR9,28
P9WIV9,28
P9WLZ7,28
P9WMT1,28
P9WGP5,28
P9WNE5,27
P9WJV3,27
O53816,27
P9WGD9,27
P9WG57,27
P9WPH9,27
P9WMQ3,27
P9WMI1,27
P9WMD1,27
P9WK97,27
O05305,27
P9WKP9,27
O07177,27
P9WHL7,27
P9WG55,26
P9WFL5,26
P9WFP7,26
P9WKD1,26
O86361,26
P9WPS9,25
P9WMP9,25
P9WIV5,25
O65931,25
I6Y1P2,25
P9WQN3,25
P9WQN5,25
P71794,25
P9WPS7,25
P9WNN1,25
P9WMR1,25
P9WP91,25
P9WPR3,24
P96235,24
I6X9S5,24
P9WG25,24
P9WHP5,24
P9WHI7,24
P9WHA7,24
P9WFV3,24
P9WPM7,24
P9WGY1,24
O06380,24
O06577,24
P9WMY7,24
O05450,24
P9WQD7,24
P9WQJ9,24
P9WQP3,24
P9WQK7,24
P9WQ81,23
L7N673,23
P9WFT3,23
L7N689,23
P9WNU7,23
P9WGJ9,23
P9WGL1,23
P9WN11,23
P9WPM5,23
P9WI65,23
P9WM25,23
P9WJA1,23
P9WH77,22
P9WGT3,22
P9WGV9,22
P9WGS3,22
P96855,22
O07434,22
P9WIY1,22
P9WJK3,22
P9WIS5,22
P95228,22
P95149,22
P9WNN9,21
P9WQ35,21
P9WKC7,21
O53311,21
I6Y778,21
P9WN07,21
O05779,21
P9WGP3,21
P9WMZ1,21
P9WGI1,21
P9WPC3,21
P9WPM1,21
P9WGZ1,21
O53158,21
P9WP25,21
P9WMF1,21
P9WNC1,21
I6X540,20
P9WFG3,20
P9WF97,20
P9WLB7,20
P9WQA5,20
P9WNE1,20
P95223,20
I6XWK6,20
P9WKN1,20
P9WJE5,20
P9WJH3,20
P9WPS3,20
O53561,20
P9WH05,20
P9WI59,20
P9WJC5,20
P9WGY7,20
P9WN27,20
O53674,20
P9WLL7,20
P9WPA3,20
P96264,19
P9WFY3,19
P9WN23,19
P71838,19
P71741,19
P9WKI9,19
O06585,19
P9WKJ3,19
P9WPN3,19
P9WP23,19
O53521,19
O53477,19
I6Y8I5,19
O53900,19
P9WL27,19
P9WPD7,19
P9WNM5,19
P9WHV1,19
O53764,18
O06291,18
P9WH07,18
P9WQ61,18
O65934,18
P9WFU3,18
P9WN61,18
P9WFV7,18
I6YEE6,18
P63907,18
P9WPU9,18
P9WHV7,18
P9WJI1,18
P9WK13,18
P9WNB3,18
P9WFX7,17
P9WQI9,17
Q6MX01,17
P9WN79,17
P9WQ83,17
P9WHV9,17
P9WHN5,17
O06347,17
P9WL77,17
P9WNV3,17
P9WHB5,17
P9WNU3,17
P9WGH9,17
P9WPH3,17
P9WMW1,17
P9WN15,17
O53554,17
P9WKI7,17
P9WKX3,17
P9WNL1,17
P9WIK5,17
P9WIU9,17
P96218,17
P9WNG9,17
P9WJV9,17
P9WJI3,17
P96824,17
P9WNA9,16
P9WN93,16
P9WKE3,16
P9WN91,16
P9WFT9,16
I6YGX2,16
I6Y8U3,16
P9WMR5,16
Q50631,16
P9WQK9,16
O50443,16
O53154,16
P9WL99,16
P9WIQ1,16
P9WIC9,16
P9WH43,16
P9WMA7,16
P9WHW5,16
P9WNV7,16
P9WHL5,16
I6XEI5,16
P71701,16
P9WFU9,15
P9WIB7,15
O07718,15
P9WJB7,15
P9WGH3,15
P9WL07,15
P9WPQ9,15
O69697,15
P96811,15
P96419,15
P9WN21,15
P71699,15
P9WPU1,15
Q79FX8,15
I6Y1I5,15
Q79G13,15
P9WP77,15
Q50681,15
P9WP13,15
O53168,15
O53443,15
P9WIK3,15
P9WIE1,15
P9WHB9,15
P9WFJ5,14
P9WKG3,14
O53671,14
P9WNC5,14
P71864,14
P95291,14
O05819,14
P9WM73,14
P9WFW5,14
P9WJA9,14
P9WPB3,14
P9WPC9,14
P9WNM7,14
P9WPH1,14
P9WPJ7,14
P9WH67,14
P9WHD7,14
P9WGK7,14
O53281,14
P9WL35,14
P9WIS3,14
P9WIJ9,14
P9WP37,14
P9WNX7,14
P9WNW5,14
I6XU97,14
I6XFS7,14
P71635,13
P9WQ11,13
P71592,13
P95187,13
P9WQ19,13
P9WQ43,13
P96831,13
P9WIT3,13
O06396,13
P9WLK1,13
I6YC39,13
I6YAZ1,13
P9WLZ1,13
I6X5T4,13
V5QQR7,13
P9WIB3,13
P9WG67,13
P9WPP5,13
P9WJJ3,13
P9WNT7,13
P9WNR3,13
O07431,13
P9WMJ7,13
P9WJH7,13
P9WP99,13
O65933,13
P9WP95,13
P9WJ03,12
P9WHT9,12
P9WLK7,12
P95277,12
O53871,12
O53611,12
P9WFV9,12
P9WG35,12
P9WGL9,12
P9WNP1,12
P9WNS3,12
O06824,12
P71590,12
P9WHH1,12
P9WNL3,12
O53498,12
P9WMG9,12
O05842,12
P9WNA5,12
I6YC44,12
I6XF60,12
I6Y3V3,12
P96886,12
P9WQE7,12
P9WJ87,12
P9WQ09,12
L0T2Z1,12
O06428,12
O50435,11
O53872,11
P9WJN7,11
P9WKB1,11
O53703,11
P9WPM3,11
P9WJP3,11
P9WFZ5,11
P9WJM7,11
O05598,11
O53565,11
P9WMR3,11
P9WMY3,11
O07721,11
P9WJF5,11
O69721,11
P9WHM5,11
P9WHS1,11
P9WHS3,11
I6YCN3,11
P9WP71,11
I6YEA3,11
P9WLT1,11
O53287,11
P9WQ41,11
P71778,11
P9WPR9,11
P9WQ93,11
I6Y3T7,11
P9WNY3,11
P9WII9,11
P9WGI5,11
P9WGM3,11
I6YG46,11
P9WGK9,11
P71763,10
P9WII3,10
P9WIS7,10
O06538,10
P9WNV1,10
O53319,10
O53182,10
O06550,10
Q10782,10
P9WHP7,10
I6YCP0,10
P9WPU7,10
P9WQF3,10
I6XWF9,10
P60230,10
P9WQA3,10
I6Y4C4,10
P9WQ37,10
P95160,10
O33362,10
P9WIC5,10
P9WMI3,10
P9WME9,10
P9WG75,10
P9WPP3,10
P9WGR9,10
O53362,10
P9WGQ1,10
P9WGU5,10
P9WN13,10
P9WML7,10
P95137,10
P9WFX5,10
P96217,10
P96816,10
P95217,10
P9WKE5,10
P9WKA7,10
P71805,10
P9WJP1,10
L7N699,10
L7N6A5,10
L7N691,10
P9WFD7,10
I6X5K1,9
I6XEK6,9
P9WQA7,9
O53445,9
O53452,9
P9WGA3,9
P9WKC3,9
L0T911,9
P9WKB3,9
P9WJL3,9
L7N672,9
P9WLU5,9
P9WI73,9
O33263,9
P96878,9
O05884,9
P9WGJ1,9
O06560,9
P72007,9
P71792,9
O06603,9
P71834,9
P9WIK9,9
P9WFW1,9
P9WMN7,9
P9WPF7,9
P9WPE5,9
O06155,9
O06180,9
O07178,9
O53551,8
P9WLH3,8
P9WI79,8
O05823,8
P9WP21,8
P9WN33,8
I6YDK7,8
P9WI71,8
P9WJI7,8
O69667,8
P9WK93,8
P9WG59,8
O53666,8
O53605,8
P9WNU5,8
P9WNU9,8
P9WH03,8
P9WH21,8
P9WKC5,8
O50410,8
O33272,8
O33282,8
P9WJC7,8
P9WP53,8
P9WPI3,8
P9WIV3,8
P9WQJ7,8
O07809,8
P9WQJ5,8
Q6MX15,8
I6X9V3,8
O53371,8
O06582,7
P64937,7
P9WIX9,7
P9WMQ1,7
O06790,7
P94996,7
P71847,7
P71658,7
I6XHJ3,7
Q79FN7,7
P9WGI9,7
P9WMM5,7
P9WFU1,7
P9WML5,7
P9WFF7,7
I6Y4D2,7
O53857,7
L7N655,7
P9WNS1,7
P9WHH9,7
P9WLT5,7
P9WI61,7
O86318,7
O69693,7
P9WHM9,7
P9WHP1,7
P9WP15,7
P9WLL9,7
P9WFA9,7
P9WPS5,7
P9WI81,7
O86342,7
I6Y560,7
I6Y9J2,7
P9WPA5,7
P9WNT9,7
P95073,7
P9WKB5,7
O05293,7
P95075,7
P9WGF9,7
P9WGV5,7
P9WL45,7
O06363,7
P9WL89,7
I6Y2G3,7
P9WG29,7
Q50700,6
P9WGM7,6
P9WGS9,6
O05853,6
P9WIQ3,6
P9WMX5,6
P9WIU7,6
P9WQE5,6
P9WPJ5,6
O33198,6
O07747,6
P72047,6
P95141,6
P9WKZ3,6
P9WKZ1,6
P71629,6
P9WFX3,6
P9WJW1,6
P9WFN9,6
P9WJM9,6
P71744,6
P96418,6
O69662,6
P95197,6
P9WHL9,6
P9WI63,6
P9WHV5,6
P9WLH9,6
P9WLN1,6
I6Y9I3,6
P9WJW9,6
P9WJS3,6
P9WM57,6
P9WPB5,6
P9WF45,6
P96935,6
P9WF31,6
P96937,6
P9WPY3,6
P9WPQ3,6
P9WPP9,6
P9WJD9,6
I6YGE4,6
P9WJX5,6
P9WK91,6
O06350,6
O06312,6
O06831,6
I6YEU0,6
P9WN39,6
O53604,6
O53181,6
P9WGS1,6
O05294,6
P9WKB9,6
P9WGD7,6
P9WNM9,6
I6XEU5,6
I6XFU1,6
P9WQD5,6
I6X4K0,6
I6X5C9,6
I6X4D6,5
I6XFA9,5
P9WQ75,5
P9WQA1,5
O06389,5
P9WKW9,5
P9WNF9,5
O69687,5
P9WHR9,5
L0T897,5
P9WH87,5
P9WHA5,5
O53512,5
O53547,5
P9WGF3,5
P9WG85,5
O69724,5
O69729,5
P95087,5
P9WK45,5
P9WLJ1,5
P9WLM1,5
P9WLD1,5
P9WJH5,5
P9WNN5,5
P9WQL9,5
O53854,5
P9WKK5,5
O06583,5
P71707,5
P9WMC3,5
P9WIT5,5
O07730,5
O05898,5
O86331,5
I6Y4S9,5
I6Y8B5,5
O05899,5
O05574,5
O05307,5
P9WIQ5,5
P9WFK1,5
P95034,4
P9WQ17,4
P9WNU1,4
L7N698,4
P9WG83,4
P9WNX9,4
P9WHI5,4
P9WQ47,4
P9WQ45,4
I6Y0X0,4
P9WKQ5,4
P9WQB3,4
P9WQE3,4
P9WQF7,4
P9WQ85,4
P96374,4
P9WH27,4
P9WJN1,4
O05797,4
P9WI83,4
I6YCF3,4
P9WMS3,4
P9WPN1,4
P9WF25,4
P9WPF1,4
P9WP65,4
O33269,4
P9WMK1,4
P9WFF5,4
O07424,4
O33183,4
P9WJ95,4
O53432,4
P71858,4
Q50732,4
P9WQL7,4
P9WQM5,3
P9WQH7,3
Q6MX03,3
O53577,3
P71815,3
P71799,3
P71644,3
O53903,3
P9WFF1,3
O07427,3
P9WIT7,3
P9WIC3,3
P9WMG1,3
O33252,3
P9WPN7,3
P9WJU7,3
P9WJQ7,3
P9WPH7,3
P9WPI5,3
I6YB21,3
P9WNW3,3
P9WNX5,3
P9WHR7,3
O07732,3
P9WLI3,3
P9WKA5,3
P9WNT3,3
P9WNT5,3
O53507,3
P9WHG1,3
P9WGZ9,3
P9WGR1,3
P9WNH5,3
L7N6C0,3
P9WQ49,3
P9WQ71,3
P9WQ87,3
I6XFB7,3
I6XF52,3
I6X7J6,3
I6X666,3
I6X4J0,3
P9WQ59,2
O86315,2
P9WL93,2
P9WKI3,2
P9WQ05,2
P9WPV3,2
P9WLN5,2
P96901,2
P9WPL5,2
O53779,2
P9WJ99,2
O05895,2
P9WM11,2
O53673,2
O53711,2
O53731,2
P9WMI9,2
P9WMG3,2
O07808,2
L0T8G6,2
P9WGV1,2
O33340,2
P9WIY9,2
O53238,2
O50431,2
P9WN69,2
P9WHP9,2
P9WHK7,2
P9WQB1,2
P9WQI1,2
P9WQG9,2
