Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
A0A089QRB9	fatty acid biosynthetic process [GO:0006633]; methyl-branched fatty acid biosynthetic process [GO:1902321]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]	plasma membrane [GO:0005886]; polyketide synthase complex [GO:0034081]
I6WXK4	symbiont-mediated suppression of host inflammasome-mediated signal transduction [GO:0141081]; symbiont-mediated suppression of host inflammatory response [GO:0052036]; symbiont-mediated suppression of host programmed cell death [GO:0052041]	phosphatase activity [GO:0016791]; phosphatidylinositol-4,5-bisphosphate phosphatase activity [GO:0106019]; phosphatidylinositol-4-phosphate phosphatase activity [GO:0043812]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]; ubiquitin binding [GO:0043130]	extracellular region [GO:0005576]; host cell cytoplasm [GO:0030430]; host cell plasma membrane [GO:0020002]
I6WZG6			encapsulin nanocompartment [GO:0140737]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
I6X235	DNA repair [GO:0006281]; DNA replication [GO:0006260]; nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]	8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]	cytosol [GO:0005829]
I6X8D2	DIM/DIP cell wall layer assembly [GO:0071770]; fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]	cytoplasm [GO:0005737]
I6XD65	nicotinamide metabolic process [GO:0006769]; pyridine nucleotide biosynthetic process [GO:0019363]; response to antibiotic [GO:0046677]; xenobiotic metabolic process [GO:0006805]	ferrous iron binding [GO:0008198]; manganese ion binding [GO:0030145]; nicotinamidase activity [GO:0008936]	
I6XD69	fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; identical protein binding [GO:0042802]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]	
I6XFS7	rRNA base methylation [GO:0070475]	16S rRNA (guanine(966)-N(2))-methyltransferase activity [GO:0052913]; nucleic acid binding [GO:0003676]	extracellular region [GO:0005576]; host cell cytoplasm [GO:0030430]; host cell nucleolus [GO:0044196]
I6XHI4	cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]	acetyl-CoA C-acyltransferase activity [GO:0003988]; identical protein binding [GO:0042802]	
I6XU97		carboxylesterase activity [GO:0106435]; hydrolase activity [GO:0016787]	
